Time	Iteration	Average Reward	StdReward	MaxReward	MinReward	r_comm1	r_rad1	Throughput1	Average Throughput	SINR1	SINR_av	Num Transmits 1	Average Num Transmits	Reward1	StdReward1	MaxReward1	MinReward1	Reward2	StdReward2	MaxReward2	MinReward2	Reward3	StdReward3	MaxReward3	MinReward3	Reward4	StdReward4	MaxReward4	MinReward4	Reward5	StdReward5	MaxReward5	MinReward5	Reward6	StdReward6	MaxReward6	MinReward6	Reward7	StdReward7	MaxReward7	MinReward7	Reward8	StdReward8	MaxReward8	MinReward8	TimestepsThisBatch	TimestepsSoFar	Loss 1	Policy Gradient Loss 1	KL Divergence 1	Value Loss 1	Entropy Loss 1
6538.752347230911	416	-3611.0336883544924	2057.7224622131007	3842.73291015625	-5200.1796875	9454.199999999943	996.3335263181782	38.90399999999979	11.666062499999965	204.72643868099806	242.84021455248322	0.49050000000000005	0.2814375	1483.5316162109375	1780.033755453375	3842.73291015625	-1185.744140625	-4401.15966796875	443.91088927366707	-3842.552734375	-5200.1796875	-4420.075048828125	327.3925191920185	-4029.736572265625	-4839.373046875	-4411.89130859375	400.4922140309503	-4035.84716796875	-5158.478515625	-4481.14541015625	415.93407651406903	-4062.01318359375	-5151.43212890625	-4095.11748046875	280.46688839649613	-3742.86279296875	-4428.779296875	-4390.471484375	343.91458851649406	-3889.6201171875	-4859.07568359375	-4171.94072265625	286.8619716828835	-3676.909423828125	-4430.49560546875	2000	834000	1997.8218339920045	0.0	0.0	3995.643667984009	3.4501796227989296e-10
6554.554062604904	417	-3389.424691772461	1976.4842938145184	2182.14501953125	-4737.59423828125	9660.59999999996	986.8177748207845	39.530999999999835	12.120187499999977	245.15836201431983	238.52850411206836	0.611	0.2920625	1766.0574951171875	222.30227072102363	2182.14501953125	1535.9013671875	-4262.493896484375	265.2844121371769	-3935.361572265625	-4737.59423828125	-4269.41142578125	265.51583171302383	-3834.9091796875	-4640.251953125	-4186.662890625	309.3508546938572	-3585.8583984375	-4417.255859375	-4042.749072265625	366.37247990842894	-3617.90771484375	-4474.0244140625	-4208.75146484375	297.49069158673404	-3749.19970703125	-4502.90869140625	-3774.975146484375	393.2716892790613	-3313.793701171875	-4326.798828125	-4136.4111328125	180.44289551362456	-3921.905029296875	-4388.6650390625	2000	836000	1732.8872510433198	-6.193638935059198e-10	0.0	3465.7745020866396	1.3549440880161015e-07
6570.401614904404	418	-3573.7578201293945	1479.5912419441072	1902.505126953125	-5044.32421875	7900.799999999949	996.7971166063599	35.105499999999786	11.582624999999968	221.27393675661068	228.53938586581316	0.6265000000000001	0.2849375	-73.57711181640624	1386.793760151436	1902.505126953125	-2426.02783203125	-4016.952197265625	332.1973293392018	-3709.447021484375	-4521.89111328125	-4079.83505859375	603.8278613339428	-3115.3955078125	-4761.84375	-3818.3583984375	553.6957214505528	-2917.5693359375	-4655.720703125	-4253.674951171875	281.7581010792665	-3874.672607421875	-4728.017578125	-4375.85537109375	395.0774944086185	-3652.01806640625	-4762.7314453125	-4135.488818359375	516.336046022262	-3586.51025390625	-5044.32421875	-3836.320654296875	230.10332222375843	-3513.734619140625	-4190.3740234375	2000	838000	1642.813367462158	7.282270392261481e-09	0.0	3285.626734924316	1.0706458585386756e-06
6586.139793634415	419	-3491.259053039551	1891.8450247474818	2314.4345703125	-5016.2431640625	9373.999999999955	999.3395936407545	39.323499999999825	11.831374999999966	222.0449464743483	238.79715435160762	0.7045000000000001	0.3036875	1379.2830932617187	763.6493063696411	2314.4345703125	27.91668701171875	-4085.04404296875	399.718961777096	-3709.0771484375	-4652.4287109375	-4170.79111328125	440.20536812081167	-3449.916015625	-4825.65576171875	-4053.4375	377.6442322416961	-3743.26171875	-4605.4267578125	-4112.6556640625	154.78726393205616	-3882.439697265625	-4360.654296875	-4300.48828125	391.5936211318581	-3852.896240234375	-5016.2431640625	-4201.63857421875	351.7668520196812	-3626.26513671875	-4596.13720703125	-4385.300341796875	233.96652700145387	-4082.088134765625	-4756.0283203125	2000	840000	1777.7237080574037	6.248872127079253e-07	-2.0954757928848267e-08	3555.4474161148073	1.861833022795396e-06
6601.803678750992	420	-3435.506369018555	1986.9754841280778	3354.075439453125	-4748.49072265625	9393.199999999972	980.8458304604916	41.839499999999866	12.323624999999975	234.97488747698418	243.86386805073545	0.611	0.2785625	1546.4331298828124	1444.1290884395064	3354.075439453125	-762.5006103515625	-3728.08046875	284.6917188470662	-3251.4404296875	-4028.862060546875	-4276.69248046875	374.49921161334345	-3703.37646484375	-4622.6806640625	-4302.516015625	430.0040584338754	-3654.2060546875	-4748.49072265625	-4094.534033203125	410.988461304153	-3604.718994140625	-4617.18701171875	-4205.53310546875	386.944020380467	-3675.25244140625	-4744.89697265625	-4258.91494140625	272.7324196170502	-3856.87353515625	-4591.19873046875	-4164.213037109375	314.55808124389307	-3622.201904296875	-4484.486328125	2000	842000	1743.185546064377	-1.1722283740217555e-08	0.0	3486.371092128754	2.267058861470533e-07
6617.47151017189	421	-3569.8267837524413	1931.7039758111634	2709.6748046875	-5197.9462890625	8982.799999999968	956.8437132081184	41.60349999999983	11.988374999999973	257.9918438728451	251.0905236624776	0.6085	0.27825	1328.0500366210938	1025.7383317551719	2709.6748046875	-305.75433349609375	-4169.2099609375	545.7276910603712	-3681.56787109375	-5197.9462890625	-4489.53193359375	460.460834827421	-3625.68310546875	-4901.1474609375	-4203.197021484375	494.58064570648224	-3710.38330078125	-5094.5986328125	-4291.7421875	472.4693929882205	-3839.9091796875	-4872.3818359375	-4380.95947265625	374.88375005046936	-3899.84033203125	-5008.1953125	-4120.558203125	272.70217401119146	-3702.28271484375	-4424.13671875	-4231.46552734375	302.45059908900413	-3697.9267578125	-4625.37744140625	2000	844000	1899.9898071289062	-3.7180847178852615e-09	0.0	3799.9796142578125	4.834118443358125e-08
6633.085857629776	422	-3542.3266304016115	1726.3105890062757	4309.96630859375	-4803.19189453125	8488.799999999965	989.7836518585015	38.88849999999983	11.763812499999974	213.08680223291177	239.8415276831241	0.7455	0.300125	570.5305114746094	1872.791942161406	4309.96630859375	-530.3219604492188	-3881.62099609375	409.1542924793103	-3251.73046875	-4442.6591796875	-4069.406982421875	287.74467531724645	-3564.68408203125	-4392.853515625	-4001.150390625	375.9421818315637	-3396.345703125	-4367.958984375	-3923.82109375	288.2552145758152	-3531.146240234375	-4302.49267578125	-4511.6015625	277.24325498437287	-4174.31396484375	-4803.19189453125	-4281.351318359375	262.56174091609853	-3952.383056640625	-4712.14453125	-4240.1912109375	275.9604402629657	-3874.6923828125	-4634.8330078125	2000	846000	1774.6796971321105	-5.2728743593633e-10	0.0	3549.359394264221	8.861304840729756e-08
6649.01401758194	423	-3829.8254577636717	1322.4662634077347	1669.911376953125	-4930.8037109375	7339.199999999961	1014.6727594023789	36.60999999999979	11.431687499999963	217.97311355577867	237.30991865651623	0.7395	0.28925	-778.18232421875	1523.668845698923	1669.911376953125	-2540.309326171875	-4237.4103515625	402.44853697141906	-3675.901123046875	-4898.951171875	-4290.154931640625	163.71658291210534	-4074.203857421875	-4547.44384765625	-4386.786328125	187.01203989921225	-4090.732421875	-4677.53857421875	-4389.10146484375	281.6273497198414	-4026.4287109375	-4794.3623046875	-4258.815673828125	394.63205548776955	-3856.197021484375	-4930.8037109375	-4208.51396484375	687.0364309605721	-3222.75048828125	-4848.0791015625	-4089.638623046875	174.5578515671231	-3845.621826171875	-4377.26953125	2000	848000	1558.1492357730865	4.879996637896511e-08	-4.656612873077393e-10	3116.298471546173	3.005102306015421e-07
6664.365245819092	424	-3133.5740142822265	2573.649494688871	6757.5556640625	-5261.4853515625	11247.399999999961	997.9508997906665	44.857999999999834	12.902562499999977	251.30137001977656	265.61834897936114	0.593	0.31000000000000005	3263.7926025390625	2127.666877507608	6757.5556640625	899.5584716796875	-4172.6705078125	515.2249943493142	-3622.985595703125	-4941.1962890625	-3746.645068359375	450.8159893128897	-3079.274169921875	-4312.314453125	-3981.793115234375	671.4490196123934	-3309.580810546875	-5261.4853515625	-4357.7234375	416.51922444052565	-3564.5205078125	-4734.486328125	-3865.95537109375	298.5420590720028	-3514.093994140625	-4365.0810546875	-4199.476220703125	303.58646420485775	-3938.8818359375	-4649.9072265625	-4008.12099609375	388.37393606000285	-3551.447265625	-4629.7822265625	2000	850000	2117.0792742729186	-1.1311163339300378e-09	0.0	4234.158548545837	1.773874637128239e-08
6680.220395088196	425	-3720.669111633301	1554.8492289453504	1525.273193359375	-5215.1962890625	8304.799999999963	1009.7021451447914	37.0929999999998	11.247437499999966	202.591460802919	264.14651640117506	0.437	0.2344375	227.18265380859376	697.9009877567183	1525.273193359375	-356.9718933105469	-4369.7783203125	232.67288787172515	-4177.576171875	-4821.072265625	-4021.91533203125	217.83230468877312	-3773.03076171875	-4386.318359375	-4243.64423828125	300.72386869705645	-3827.5126953125	-4612.625	-4257.688720703125	444.6870283908448	-3751.841064453125	-4817.30419921875	-4358.61875	265.90962789811107	-4124.0185546875	-4824.3623046875	-4485.3423828125	523.6801694623858	-3687.146484375	-5215.1962890625	-4255.547802734375	425.8480392206003	-3521.690673828125	-4696.0234375	2000	852000	1662.2766404151917	-2.5967633273116243e-07	8.847564458847046e-09	3324.5532808303833	1.749486009253662e-06
